"row_no","rep_id_hex","group_key","over_by_bytes","span_bytes","needed_bytes","ja_preview","kr_preview"
"624","","不可能……！ 必須重整態勢才行！！","1","50","51","不可能……！\n必須重整態勢才行！！","不可能……！\n必須重整態勢才行！！"
"625","","呵呵呵…… 沒用沒用沒用沒用！！","1","47","48","呵呵呵……\n沒用沒用沒用沒用！！","呵呵呵……\n沒用沒用沒用沒用！！"
"630","","呃……？ 這似乎有點牽強……","1","41","42","呃……？\n這似乎有點牽強……","呃……？\n這似乎有點牽強……"
"631","","久遠…… 妳還能繼續作戰嗎？","1","41","42","久遠……\n妳還能繼續作戰嗎？","久遠……\n妳還能繼續作戰嗎？"
"632","","喔…… 小小姐也挺厲害的嘛！","1","41","42","喔……\n小小姐也挺厲害的嘛！","喔……\n小小姐也挺厲害的嘛！"
"633","","好想趕快結束 回去泡澡喔……","1","41","42","好想趕快結束\n回去泡澡喔……","好想趕快結束\n回去泡澡喔……"
"634","","喔！貓音！ 今天請多指教啦！","1","41","42","喔！貓音！\n今天請多指教啦！","喔！貓音！\n今天請多指教啦！"
"635","","嗚噫噫噫！！ 是禍日神！！","1","38","39","嗚噫噫噫！！\n是禍日神！！","嗚噫噫噫！！\n是禍日神！！"
"638","","好！ 剛剛那樣很有效吧？","1","35","36","好！\n剛剛那樣很有效吧？","好！\n剛剛那樣很有效吧？"
"639","","奇羽琉……！ 振作一點！","1","35","36","奇羽琉……！\n振作一點！","奇羽琉……！\n振作一點！"
"641","","露露緹耶！ 妳沒事吧！？","1","35","36","露露緹耶！\n妳沒事吧！？","露露緹耶！\n妳沒事吧！？"
"643","","嘻嘻嘻 人家搶先立功啦！","1","41","42","嘻嘻嘻\n人家搶先立功啦！","嘻嘻嘻{{L000}}\n人家搶先立功啦！"
"648","","可可啵…… 不用害怕！","1","32","33","可可啵……\n不用害怕！","可可啵……\n不用害怕！"
"650","","阿圖依！ 不要亂攻擊！","1","32","33","阿圖依！\n不要亂攻擊！","阿圖依！\n不要亂攻擊！"
"651","","這條路…… 難道……","1","29","30","這條路……\n難道……","這條路……\n難道……"
"656","","謝謝您！ 姐姐大人！","1","29","30","謝謝您！\n姐姐大人！","謝謝您！\n姐姐大人！"
"660","","久遠！ 妳太著急了！","1","29","30","久遠！\n妳太著急了！","久遠！\n妳太著急了！"
"674","","嗚喔！？ 危險！！","1","26","27","嗚喔！？\n危險！！","嗚喔！？\n危險！！"
"675","","唔！？ ……喝！！","1","26","27","唔！？\n……喝！！","唔！？\n……喝！！"
"681","","倒下吧！ 武賴！！","1","26","27","倒下吧！\n武賴！！","倒下吧！\n武賴！！"
